incident_id,offense_type_id
141005,0
141007,0
137128,0
137134,0
137015,0
141121,0
137165,0
137175,0
137208,0
137271,0
137328,0
137348,0
137358,0
137385,0
137428,0
137450,0
137563,0
137705,0
137707,0
141054,0
141170,0
141226,0
141357,0
141383,0
141489,0
141526,0
141584,0
137735,0
137737,0
137739,0
137740,0
137744,0
137745,0
137746,0
141652,0
141662,0
141671,0
141675,0
141677,0
141680,0
141681,0
141682,0
137975,0
137983,0
143169,0
137961,0
143148,0
138059,0
138077,0
138103,0
138192,0
138278,0
138421,0
138431,0
138441,0
138457,0
141925,0
142768,0
143052,0
143058,0
138994,0
143199,0
139020,0
139027,0
143484,0
139135,0
139966,0
139271,0
139310,0
139166,0
141845,0
139574,0
139632,0
139689,0
139711,0
139801,0
139825,0
142701,0
142820,0
142962,0
143075,0
143076,0
143077,0
143079,0
143241,0
143522,0
139988,0
140005,0
141882,0
142190,0
142207,0
140219,0
142316,0
140340,0
140353,0
142515,0
140422,0
140501,0
142839,0
140609,0
140623,0
142979,0
140691,0
140803,0
140943,0
140947,0
143692,0
147663,0
143809,0
143866,0
143895,0
143905,0
143927,0
143935,0
143970,0
143981,0
144032,0
144035,0
144178,0
144230,0
147727,0
147816,0
147821,0
147822,0
147899,0
147931,0
147991,0
148124,0
148125,0
148157,0
144482,0
150074,0
150087,0
144535,0
144538,0
144543,0
144557,0
148313,0
148315,0
148427,0
148430,0
144570,0
144624,0
144638,0
144675,0
148591,0
144975,0
145003,0
145041,0
148675,0
145202,0
145099,0
149056,0
145336,0
149531,0
145556,0
148196,0
150113,0
150114,0
150118,0
145582,0
145603,0
145660,0
145704,0
148462,0
145966,0
148860,0
146103,0
145759,0
145772,0
148476,0
146190,0
146197,0
146198,0
146199,0
146200,0
146201,0
146230,0
146248,0
146265,0
146268,0
146269,0
146271,0
146279,0
146305,0
146310,0
146338,0
146406,0
148210,0
148218,0
148220,0
148232,0
148355,0
148373,0
148374,0
148377,0
148381,0
148382,0
148520,0
148671,0
149848,0
149993,0
149996,0
150022,0
150142,0
146553,0
146576,0
146603,0
146638,0
146650,0
146651,0
146666,0
148904,0
148913,0
149011,0
146761,0
146774,0
149261,0
149343,0
147015,0
149357,0
147076,0
149376,0
147187,0
147243,0
149613,0
149754,0
147264,0
147294,0
147366,0
147369,0
147487,0
147542,0
147543,0
147557,0
148815,0
149142,0
149147,0
150260,0
150262,0
150283,0
150377,0
150400,0
150533,0
150542,0
150562,0
150612,0
150614,0
150622,0
150625,0
150626,0
150630,0
150666,0
150667,0
150673,0
150675,0
150682,0
150689,0
150690,0
150692,0
150726,0
150813,0
150846,0
150955,0
151010,0
151088,0
151112,0
151166,0
151170,0
151171,0
151191,0
151206,0
151225,0
151252,0
151267,0
151275,0
151278,0
151451,0
151499,0
151554,0
151560,0
151566,0
151576,0
151592,0
151599,0
151714,0
151907,0
151908,0
151917,0
151950,0
151967,0
151969,0
151981,0
152107,0
152202,0
152284,0
152438,0
152493,0
152511,0
152514,0
152695,0
152757,0
152804,0
152879,0
152968,0
152631,0
153134,0
153370,0
153377,0
153423,0
153468,0
153479,0
153486,0
153500,0
153592,0
153599,0
153612,0
153615,0
153624,0
153651,0
153668,0
153721,0
153744,0
155025,0
153993,0
154118,0
154350,0
154367,0
153785,0
154386,0
154604,0
154613,0
154620,0
154633,0
154666,0
154824,0
154826,0
155061,0
155065,0
155076,0
155078,0
155081,0
155147,0
155171,0
155173,0
155253,0
155279,0
155365,0
155378,0
155504,0
155812,0
155914,0
156110,0
156156,0
156229,0
156318,0
156356,0
156421,0
156424,0
156452,0
156478,0
156527,0
156530,0
160546,0
160582,0
156635,0
156656,0
156673,0
156688,0
156696,0
156697,0
156724,0
156732,0
156774,0
156775,0
156799,0
156806,0
156865,0
156866,0
156910,0
156961,0
156975,0
157042,0
160709,0
160737,0
160809,0
160847,0
160870,0
160983,0
161006,0
161022,0
161077,0
157083,0
157093,0
157097,0
157099,0
157111,0
157119,0
157124,0
157182,0
160904,0
162394,0
157287,0
157292,0
157296,0
157300,0
157308,0
157313,0
157315,0
162552,0
162666,0
162667,0
162668,0
162685,0
162690,0
162691,0
157276,0
157322,0
157331,0
157345,0
162693,0
157496,0
157466,0
157515,0
157608,0
157732,0
157735,0
157747,0
157762,0
157775,0
157784,0
157814,0
161299,0
162983,0
162986,0
157877,0
158067,0
158106,0
158147,0
158287,0
158396,0
162720,0
158435,0
158441,0
162849,0
162855,0
158486,0
162989,0
159361,0
159410,0
161390,0
158660,0
158698,0
158868,0
158571,0
158595,0
158601,0
161332,0
159008,0
162214,0
162317,0
162451,0
162593,0
159429,0
161491,0
161829,0
159754,0
159914,0
159927,0
159929,0
162019,0
162020,0
162024,0
160062,0
160096,0
162916,0
160304,0
160324,0
160325,0
163062,0
163070,0
160490,0
160496,0
160503,0
163154,0
163175,0
163269,0
163351,0
163355,0
163360,0
163372,0
163448,0
163467,0
163540,0
163546,0
163550,0
163556,0
163576,0
163580,0
163585,0
163610,0
163635,0
163644,0
163672,0
163685,0
163701,0
163764,0
163801,0
163802,0
163847,0
163866,0
163879,0
163885,0
163937,0
163998,0
164068,0
164116,0
164175,0
164178,0
164180,0
164193,0
164214,0
164292,0
164325,0
164462,0
164474,0
164490,0
164491,0
164501,0
164514,0
164537,0
164574,0
164669,0
164751,0
164758,0
164771,0
164904,0
165033,0
165082,0
165108,0
165118,0
165119,0
165134,0
165313,0
165373,0
165571,0
165658,0
165782,0
165990,0
166000,0
166003,0
166005,0
166008,0
166139,0
166151,0
166156,0
167426,0
167446,0
167452,0
166425,0
166431,0
166279,0
166297,0
166303,0
166305,0
167590,0
167592,0
167646,0
167675,0
167756,0
167791,0
167803,0
167943,0
168186,0
168194,0
168289,0
168306,0
168360,0
168378,0
168385,0
168396,0
168398,0
168409,0
168455,0
168636,0
168750,0
168838,0
168873,0
168954,0
169092,0
169102,0
169053,0
169059,0
169064,0
169065,0
174735,0
169186,0
169356,0
169470,0
169567,0
169595,0
169619,0
169660,0
169666,0
169671,0
169683,0
169732,0
169767,0
169770,0
169812,0
169813,0
169912,0
169944,0
169976,0
169977,0
169978,0
170007,0
170017,0
170030,0
170032,0
170034,0
170049,0
170100,0
170106,0
170194,0
170198,0
170248,0
170365,0
170370,0
170373,0
170417,0
170431,0
170536,0
170560,0
170561,0
170786,0
170613,0
170647,0
170703,0
170875,0
170978,0
170980,0
171008,0
171093,0
171119,0
171121,0
171237,0
171256,0
171430,0
171071,0
171078,0
171532,0
171741,0
171773,0
171807,0
171811,0
171820,0
171894,0
172013,0
172993,0
172183,0
172211,0
172041,0
172042,0
172051,0
172053,0
172054,0
173151,0
173158,0
173159,0
173160,0
173166,0
173167,0
173168,0
173206,0
173207,0
173270,0
173290,0
173344,0
173347,0
173372,0
173399,0
173506,0
173709,0
173767,0
173829,0
173917,0
173943,0
173999,0
174008,0
174017,0
174041,0
174118,0
174120,0
174224,0
174246,0
174331,0
174365,0
174375,0
174428,0
174451,0
174517,0
174518,0
174580,0
174596,0
174684,0
174829,0
174844,0
174908,0
174964,0
174989,0
175020,0
175057,0
175060,0
175071,0
175075,0
175116,0
175187,0
175254,0
175257,0
175259,0
175286,0
175301,0
175304,0
175383,0
175402,0
175523,0
175528,0
175565,0
175633,0
175641,0
175681,0
175708,0
175804,0
175813,0
175846,0
175869,0
175874,0
175877,0
175950,0
175968,0
176020,0
176079,0
176082,0
176089,0
176119,0
176122,0
176128,0
176135,0
176136,0
176074,0
176346,0
176419,0
176484,0
176594,0
176648,0
176649,0
176650,0
176702,0
176840,0
177054,0
176787,0
177240,0
177286,0
177352,0
177511,0
177582,0
177583,0
177587,0
177590,0
177662,0
177785,0
178813,0
178817,0
178884,0
178212,0
177814,0
177816,0
177822,0
177828,0
177842,0
177851,0
178946,0
178964,0
178985,0
178996,0
179002,0
179015,0
179052,0
179067,0
179118,0
179144,0
179392,0
179539,0
179571,0
179572,0
179605,0
179677,0
179690,0
179722,0
179748,0
179822,0
179839,0
179916,0
179984,0
180228,0
180248,0
180252,0
180270,0
180285,0
180383,0
180391,0
180426,0
180453,0
180548,0
180507,0
186850,0
180614,0
180639,0
180665,0
180838,0
180879,0
180899,0
180904,0
180971,0
180989,0
181049,0
181083,0
181089,0
181103,0
181113,0
181114,0
181120,0
181129,0
181296,0
181300,0
181346,0
181354,0
181401,0
181506,0
181514,0
181515,0
181528,0
181532,0
181556,0
181573,0
181598,0
181696,0
181770,0
181773,0
181782,0
181791,0
181946,0
182016,0
182048,0
182060,0
182073,0
182077,0
182094,0
182151,0
182153,0
182184,0
182187,0
182195,0
182215,0
182389,0
182423,0
182576,0
182690,0
182692,0
182695,0
182901,0
182846,0
182853,0
183390,0
183580,0
183697,0
183700,0
183702,0
183760,0
183805,0
183806,0
183815,0
183843,0
183855,0
183856,0
183857,0
183795,0
183932,0
185052,0
184066,0
184105,0
184106,0
