,incident_id,victim_type_id
0,141003,0
1,141004,0
2,141005,0
3,141006,0
4,141007,0
5,141008,0
6,141009,0
7,141010,0
8,141011,0
9,136965,0
10,136966,0
11,136967,0
12,136968,0
13,136969,1
14,136970,0
15,136971,0
16,136972,0
17,136973,0
18,137118,0
19,137119,0
20,137120,0
21,137121,1
22,137122,2
23,137122,0
24,137122,1
25,137123,1
26,137124,0
27,137125,0
28,137126,0
29,137127,0
30,137128,0
31,137129,0
32,137130,0
33,137131,0
34,137131,3
35,137132,0
36,137133,0
37,137134,0
38,137135,0
39,137136,0
40,137137,0
41,137138,0
42,137139,0
43,137140,0
44,137141,0
45,137142,0
46,137143,4
47,137144,0
48,137145,0
49,137146,0
50,137147,0
51,137148,3
52,137149,0
53,137150,0
54,137151,0
55,137152,0
56,137153,0
57,137154,0
58,137155,0
59,137156,0
60,141015,0
61,141016,0
62,141017,2
63,141018,0
64,141019,0
65,141020,0
66,141021,0
67,141022,0
68,141023,0
69,141024,0
70,141025,4
71,141026,0
72,141027,0
73,141028,0
74,141029,0
75,141030,0
76,141031,0
77,141032,0
78,141033,0
79,141034,0
80,141035,0
81,141036,0
82,141037,0
83,141038,0
84,141039,3
85,141040,3
86,141041,3
87,141042,0
88,141043,0
89,141044,0
90,141045,0
91,141046,0
92,141047,0
93,141048,2
94,141049,0
95,141050,0
96,136974,0
97,136975,4
98,136976,0
99,136977,0
100,136978,0
101,136979,2
102,136980,0
103,136981,0
104,136982,0
105,136983,0
106,136984,0
107,136985,0
108,136986,0
109,136987,0
110,136988,0
111,136989,0
112,136990,0
113,136991,4
114,136992,0
115,136993,0
116,136994,0
117,136995,0
118,136996,0
119,136997,0
120,136998,0
121,136999,0
122,137000,0
123,137001,0
124,137002,0
125,137003,0
126,137004,0
127,137005,0
128,137006,0
129,137007,0
130,137008,0
131,137009,0
132,137010,2
133,137011,0
134,137012,0
135,137013,0
136,137014,0
137,137015,0
138,137016,0
139,137017,0
140,137018,0
