bias
Anti-Black or African American
Anti-White
Anti-Jewish
Anti-Arab
Anti-Protestant
Anti-Other Religion
Anti-Islamic (Muslim)
Anti-Gay (Male)
Anti-Asian
Anti-Catholic
"Anti-Multiple Religions, Group"
Anti-Hispanic or Latino
"Anti-Multiple Races, Group"
Anti-Lesbian (Female)
Anti-Other Race/Ethnicity/Ancestry
Anti-Heterosexual
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)"
Anti-American Indian or Alaska Native
Anti-Atheism/Agnosticism
Anti-Bisexual
Anti-Physical Disability
Anti-Mental Disability
Anti-Gender Non-Conforming
Anti-Female
Anti-Transgender
Anti-Native Hawaiian or Other Pacific Islander
Anti-Male
Anti-Jehovah's Witness
Anti-Church of Jesus Christ
Anti-Buddhist
Anti-Sikh
Anti-Other Christian
Anti-Hindu
"Anti-Eastern Orthodox (Russian, Greek, Other)"
Unknown (offender's motivation not known)
